bbc-top http://feeds.bbci.co.uk/news/rss.xml
bbc-world   http://feeds.bbci.co.uk/news/world/rss.xml
bbc-af  http://feeds.bbci.co.uk/news/world/africa/rss.xml
bbc-uk  http://feeds.bbci.co.uk/news/uk/rss.xml
bbc-biz http://feeds.bbci.co.uk/news/business/rss.xml
bbc-pol http://feeds.bbci.co.uk/news/politics/rss.xml
bbc-tek http://feeds.bbci.co.uk/news/technology/rss.xml
bbc-asia    http://feeds.bbci.co.uk/news/world/asia/rss.xml
bbc-eu  http://feeds.bbci.co.uk/news/world/europe/rss.xml
bbc-latin   http://feeds.bbci.co.uk/news/world/latin_america/rss.xml
bbc-me  http://feeds.bbci.co.uk/news/world/middle_east/rss.xml
bbc-uscan   http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
bbc-eng http://feeds.bbci.co.uk/news/england/rss.xml
bbc-ire http://feeds.bbci.co.uk/news/northern_ireland/rss.xml
bbc-scot    http://feeds.bbci.co.uk/news/scotland/rss.xml
bbc-wales   http://feeds.bbci.co.uk/news/wales/rss.xml
tass    https://tass.com/rss/v2.xml
chinamil    http://english.chinamil.com.cn/rss.xml
mainichi    https://mainichi.jp/rss/etc/english_latest.rss
induk-ukrain  https://www.independent.co.uk/topic/ukraine/rss
nyt-world   https://rss.nytimes.com/services/xml/rss/nyt/World.xml
nyt-africa  https://rss.nytimes.com/services/xml/rss/nyt/Africa.xml
nyt-am  https://rss.nytimes.com/services/xml/rss/nyt/Americas.xml
nyt-apac    https://rss.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml
nyt-eu  https://rss.nytimes.com/services/xml/rss/nyt/Europe.xml
nyt-me  https://rss.nytimes.com/services/xml/rss/nyt/MiddleEast.xml
el-pais http://ep01.epimg.net/rss/elpais/inenglish.xml
fr-24   https://www.france24.com/en/rss
cnn http://rss.cnn.com/rss/edition.rss
cnn-world   http://rss.cnn.com/rss/edition_world.rss
cnn-afrika  http://rss.cnn.com/rss/edition_africa.rss
cnn-am  http://rss.cnn.com/rss/edition_americas.rss
cnn-asia    http://rss.cnn.com/rss/edition_asia.rss
cnn-eu  http://rss.cnn.com/rss/edition_europe.rss
cnn-me  http://rss.cnn.com/rss/edition_meast.rss
cnn-us  http://rss.cnn.com/rss/edition_us.rss
cnbc-top    https://www.cnbc.com/id/100003114/device/rss/rss.html
cnbc-world  https://www.cnbc.com/id/100727362/device/rss/rss.html
cnbc-us https://www.cnbc.com/id/15837362/device/rss/rss.html
cnbc-asia   https://www.cnbc.com/id/19832390/device/rss/rss.html
cnbc-europe https://www.cnbc.com/id/19794221/device/rss/rss.html
cnbc-politics   https://www.cnbc.com/id/10000113/device/rss/rss.html
wsj-world   https://feeds.a.dj.com/rss/RSSWorldNews.xml
wsj-opinion https://feeds.a.dj.com/rss/RSSOpinion.xml
wsj-biz https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml
fox-latest  https://moxie.foxnews.com/google-publisher/latest.xml
fox-world   https://moxie.foxnews.com/google-publisher/world.xml
fox-politics    https://moxie.foxnews.com/google-publisher/politics.xml
fox-us      https://moxie.foxnews.com/google-publisher/us.xml
fox-opinion https://moxie.foxnews.com/google-publisher/opinion.xml
lemonde https://www.lemonde.fr/en/rss/une.xml
egyptian-streets    https://egyptianstreets.com/feed/
egyptian-independant    https://www.egyptindependent.com/feed/
mehr-news   https://en.mehrnews.com/rss
tasnim-news  https://www.tasnimnews.com/en/rss/feed/0/7/0/all-stories
cbc-top https://www.cbc.ca/webfeed/rss/rss-topstories
cbc-world   https://www.cbc.ca/webfeed/rss/rss-world
cbc-politics    https://www.cbc.ca/webfeed/rss/rss-politics
zeit-online https://newsfeed.zeit.de/index
